CASE_ID,EVENT,TITLE,RESULT,DIMENSIONS_VERIFIED,TOTALS_ONLY
ACC-18,EV-07-S02,"TT bank line (second table): SAME treatment, FIXED 1->2 on the TT table",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-19,EV-07-S03,"bank line FIXED=0 (not reconciled): skipped, stays 0",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-20,EV-07-S04,bank line already FIXED=2: skipped ALREADY_ACCOUNTED,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-21,EV-08-S01,"bank line whose receipt does not exist: quarantined/skipped, not posted, not silent",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-22,EV-08-S02,"multi-invoice receipt: one document per mapping — 100 and 200, not 300 twice",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-23,EV-08-S03,cheque tender: PAY_TYPE=CHEQUE derived from cheque record (D07) — receipt posts,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-24,EV-08-S04,type-5 receipt on the 42420000 profile: passbook reclassifies payment into EXCEED_CREDIT 75,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-25,EV-08-S05,SSO '0000': accounting posts but passbook row is SKIPPED (CompanyPassbookModel:86),PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-26,EV-09-S01,"Dr=Cr per document AND per stream: MAIN 1000/1000, FEE 50/50 (balanced-but-wrong would still fail here)",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-27,EV-10-S01,receipt->ledger link written (T_LEDGER_MAP_RECEIPT) for the posted receipt,PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-28,EV-11-S01,"working-ledger rows carry the ORIGINAL per-side shape: ITEM_CODE ROFF, one D + one C",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-29,EV-12-S01,audit trail written for the run (RUN_START/RUN_END),PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-30,XC-S01,second run over the same estate: zero new rows (idempotency at accounting level),PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-31,XC-S02,run lock released after every run (no leaked lock),PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-32,XC-S03,"empty estate: SUCCESS_ZERO_INPUT, nothing written",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
ACC-33,XC-S04,"amount precision preserved end-to-end: 999.99 on ledger AND passbook (DECIMAL(15,2), no rounding)",PASS,item/Dr acct/Dr amt/Cr acct/Cr amt/office/GL/passbook/TRRE as applicable,NO — per-value readback from DB2
